id_tabungan,counter_tabungan,tanggal_nabung,nama_goal,target_nominal,nominal_nabung,total_terkumpul,sisa_target,status,jarak_hari_nabung,persentase_terkumpul
TAB-0001,1,2021-06-12,Dana Darurat,9720000,1134942,1134942,8585058,Belum Selesai,0,11.68
TAB-0001,2,2021-06-26,Dana Darurat,9720000,948640,2083582,7636418,Belum Selesai,14,21.44
TAB-0001,3,2021-07-15,Dana Darurat,9720000,1056415,3139997,6580003,Belum Selesai,19,32.3
TAB-0001,4,2021-07-22,Dana Darurat,9720000,1036500,4176497,5543503,Belum Selesai,7,42.97
TAB-0001,5,2021-08-08,Dana Darurat,9720000,958707,5135204,4584796,Belum Selesai,17,52.83
TAB-0001,6,2021-08-24,Dana Darurat,9720000,906476,6041680,3678320,Belum Selesai,16,62.16
TAB-0001,7,2021-11-06,Dana Darurat,7160000,928793,8783571,936429,Belum Selesai,74,122.68
TAB-0001,8,2021-12-04,Dana Darurat,9720000,936429,9720000,0,Selesai,28,100.0
TAB-0002,1,2021-04-12,Beli Ipad/Tablet Nugas,6240000,220329,220329,6019671,Belum Selesai,0,3.53
TAB-0002,2,2021-05-12,Beli Ipad/Tablet Nugas,6240000,178688,399017,5840983,Belum Selesai,30,6.39
TAB-0002,3,2021-06-03,Beli Ipad/Tablet Nugas,6240000,190802,589819,5650181,Belum Selesai,22,9.45
TAB-0002,4,2021-06-10,Beli Ipad/Tablet Nugas,6240000,203923,793742,5446258,Belum Selesai,7,12.72
TAB-0002,5,2021-08-11,Beli Ipad/Tablet Nugas,6240000,214692,1170843,5069157,Belum Selesai,62,18.76
TAB-0002,6,2021-08-31,Beli Ipad/Tablet Nugas,6240000,211000,1382345,4857655,Belum Selesai,20,22.15
TAB-0002,7,2021-09-14,Beli Ipad/Tablet Nugas,6240000,158986,1541331,4698669,Belum Selesai,14,24.7
TAB-0002,8,2021-09-24,Beli Ipad/Tablet Nugas,6240000,224622,1765953,4474047,Belum Selesai,10,28.3
TAB-0003,1,2021-07-17,Rakit Pc Gaming,21710000,2129296,2129296,19580704,Belum Selesai,0,9.81
TAB-0003,2,2021-08-03,Rakit Pc Gaming,21710000,2126596,4255892,17454108,Belum Selesai,17,19.6
TAB-0003,3,2021-08-17,Rakit Pc Gaming,7160000,2218853,6474745,15235255,Belum Selesai,14,90.43
TAB-0003,4,2021-09-03,Rakit Pc Gaming,21710000,1979190,8453935,13256065,Belum Selesai,17,38.94
TAB-0003,5,2021-09-10,Rakit Pc Gaming,21710000,2327117,10781052,10928948,Belum Selesai,7,49.66
TAB-0003,6,2021-09-28,Rakit Pc Gaming,21710000,1897676,12678728,9031272,Belum Selesai,18,58.4
TAB-0003,7,2021-11-07,Rakit Pc Gaming,21710000,2268281,17125043,4584957,Belum Selesai,40,78.88
TAB-0003,8,2021-11-15,Rakit Pc Gaming,21710000,2139701,19264744,2445256,Belum Selesai,8,88.74
TAB-0003,9,2021-12-04,Rakit Pc Gaming,21710000,2098837,21363581,346419,Belum Selesai,19,98.4
TAB-0003,10,2021-12-13,Rakit Pc Gaming,21710000,346419,21710000,0,Selesai,9,100.0
TAB-0004,1,2020-03-08,Beli Mechanical Keyboard,2770000,278627,2198107,571893,Belum Selesai,0,79.35
TAB-0004,2,2020-04-12,Beli Mechanical Keyboard,2770000,261887,261887,2508113,Belum Selesai,35,9.45
TAB-0004,3,2020-04-24,Beli Mechanical Keyboard,2770000,236681,498568,2271432,Belum Selesai,12,18.0
TAB-0004,4,2020-05-16,Beli Mechanical Keyboard,2770000,286402,784970,1985030,Belum Selesai,22,28.34
TAB-0004,5,2020-06-13,Beli Mechanical Keyboard,2770000,263603,1048573,1721427,Belum Selesai,28,37.85
TAB-0004,6,2020-07-03,Beli Mechanical Keyboard,2770000,289000,1338240,1431760,Belum Selesai,20,48.31
TAB-0004,7,2020-07-12,Beli Mechanical Keyboard,2770000,274136,1612376,1157624,Belum Selesai,9,58.21
TAB-0004,8,2020-07-23,Beli Mechanical Keyboard,2770000,307104,1919480,850520,Belum Selesai,11,69.3
TAB-0004,9,2020-08-30,Beli Mechanical Keyboard,2770000,284076,2482183,287817,Belum Selesai,38,89.61
TAB-0004,10,2020-09-08,Beli Mechanical Keyboard,2770000,282860,2765043,4957,Belum Selesai,9,99.82
TAB-0004,11,2020-10-09,Beli Mechanical Keyboard,2770000,4957,2770000,0,Selesai,31,100.0
TAB-0005,1,2024-11-27,Modal Nikah/Tunangan,85780000,1510601,1510601,84269399,Belum Selesai,0,1.76
TAB-0005,2,2024-12-05,Modal Nikah/Tunangan,85780000,1607150,3117751,82662249,Belum Selesai,8,3.63
TAB-0005,3,2024-12-24,Modal Nikah/Tunangan,85780000,1754403,4872154,80907846,Belum Selesai,19,5.68
TAB-0005,4,2025-01-04,Modal Nikah/Tunangan,85780000,1509854,6382008,79397992,Belum Selesai,11,7.44
TAB-0006,1,2021-06-04,Monitor External,2180000,223118,223118,1956882,Belum Selesai,0,10.23
TAB-0006,2,2021-06-13,Monitor External,2180000,239907,463025,1716975,Belum Selesai,9,21.24
TAB-0006,3,2021-06-21,Monitor External,2180000,235847,698872,1481128,Belum Selesai,8,32.06
TAB-0006,4,2021-07-11,Monitor External,2180000,219813,918685,1261315,Belum Selesai,20,42.14
TAB-0006,5,2021-07-28,Monitor External,2180000,235994,1154679,1025321,Belum Selesai,17,52.97
TAB-0006,6,2021-08-17,Monitor External,2180000,226283,1611455,568545,Belum Selesai,20,73.92
TAB-0006,7,2021-09-10,Monitor External,2180000,239973,1851428,328572,Belum Selesai,24,84.93
TAB-0006,8,2021-09-25,Monitor External,2180000,185275,2036703,143297,Belum Selesai,15,93.43
TAB-0006,9,2021-10-02,Monitor External,2180000,143297,2180000,0,Selesai,7,100.0
TAB-0007,1,2021-09-29,Liburan Ke Bali/Jogja,3160000,704916,704916,2455084,Belum Selesai,0,22.31
TAB-0007,2,2021-10-22,Liburan Ke Bali/Jogja,3160000,702161,1407077,1752923,Belum Selesai,23,44.53
TAB-0007,3,2021-10-31,Liburan Ke Bali/Jogja,3160000,485679,1892756,1267244,Belum Selesai,9,59.9
TAB-0007,4,2021-11-12,Liburan Ke Bali/Jogja,3160000,605143,2497899,662101,Belum Selesai,12,79.05
TAB-0008,1,2024-04-27,Modal Nikah/Tunangan,97510000,9941586,9941586,87568414,Belum Selesai,0,10.2
TAB-0008,2,2024-05-15,Modal Nikah/Tunangan,97510000,9719713,19661299,77848701,Belum Selesai,18,20.16
